日期,一级分类,二级分类,金额,成员,备注,是否共同开销,月份
2026/3/29,文化,婚庆,200.00,ljy,米莫（婚纱，微信）,否,03
2026/3/29,其他,其他,2.00,ljy,扫二维码付款-给孙铭132154…（用途待确认）,否,03
2026/3/29,文化,婚庆,2450.00,ljy,扫二维码付款-给吉祥阁（疑婚庆用品，待确认）,否,03
2026/3/29,文化,婚庆,660.00,ljy,扫二维码付款-给吉祥阁（疑婚庆用品，待确认）,否,03
2026/3/30,其他,其他,8.00,ljy,扫二维码付款-给辣妈（用途待确认）,否,03
2026/4/1,其他,其他,8.00,ljy,扫二维码付款-给张增芳（用途待确认）,否,04
2026/4/2,其他,其他,8.00,ljy,扫二维码付款-给张增芳（用途待确认）,否,04
2026/4/2,餐饮,三餐,20.00,ljy,北京唐贵梧桐餐饮（美团点餐）,否,04
2026/4/4,购物,纪念品,120.00,ljy,隆兴寺文创,否,04
2026/4/4,其他,其他,15.00,ljy,扫二维码付款-给刘博.（用途待确认）,否,04
2026/4/4,其他,其他,7.00,ljy,张志国（用途待确认）,否,04
2026/4/4,餐饮,三餐,15.00,ljy,五花肉芝士泡菜卷,否,04
2026/4/4,餐饮,三餐,29.00,ljy,扫二维码付款-给东北锅包肉,否,04
2026/4/6,宠物,宠物医疗,1000.00,ljy,阿闻宠物RVET,否,04
2026/4/6,餐饮,饮品,9.90,ljy,茉莉奶白,否,04
2026/4/6,餐饮,饮品,31.10,ljy,茉莉奶白,否,04
2026/4/7,餐饮,零食,8.98,ljy,丰e足食-智慧零售WH,否,04
2026/4/9,餐饮,三餐,22.90,ljy,北京睿新餐饮（陕壹哥）,否,04
2026/4/10,购物,数字产品,6.00,ljy,腾讯动漫,否,04
2026/4/11,交通,打车,36.23,ljy,滴滴出行,否,04
2026/4/11,娱乐,旅游,10.00,ljy,电瓶车事务部（景区电瓶车）,否,04
2026/4/11,娱乐,旅游,87.80,ljy,携程旅行网,否,04
2026/4/12,娱乐,旅游,272.00,ljy,古墓博物馆剧本游吧,否,04
2026/4/12,其他,其他,34.40,ljy,扫二维码付款-给张爱龙（用途待确认）,否,04
2026/4/14,餐饮,三餐,21.80,ljy,阿彩彩鲜烫牛肉米线（美团）,否,04
2026/4/15,餐饮,三餐,18.00,ljy,左右手·意式餐厅(北航店),否,04
2026/4/16,餐饮,零食,5.14,ljy,丰e足食-智慧零售WH,否,04
2026/4/17,餐饮,零食,7.99,ljy,丰e足食-智慧零售WH,否,04
2026/4/17,餐饮,零食,2.99,ljy,丰e足食-智慧零售WH,否,04
2026/4/18,交通,打车,36.10,ljy,特惠快车打车-王师傅（自动扣款）,否,04
2026/4/18,文化,婚庆,1580.00,ljy,香河米莫婚纱概念管,否,04
2026/4/18,交通,公交地铁,5.00,ljy,地铁_亮马桥,否,04
2026/4/19,医疗,保险,174.86,ljy,好医保·长期医疗4月保费,否,04
2026/4/19,交通,高铁,84.00,ljy,火车票（已退款¥68.00）,否,04
2026/4/20,交通,公交地铁,3.00,ljy,地铁_北沙滩,否,04
2026/4/20,餐饮,三餐,31.87,ljy,阿祥嫂隆江猪脚饭（大运村店）,否,04
2026/4/20,餐饮,零食,2.99,ljy,丰e足食-智慧零售WH,否,04
2026/4/20,其他,其他,8.00,ljy,扫二维码付款-给辣妈（用途待确认）,否,04
2026/4/21,餐饮,零食,5.14,ljy,丰e足食-智慧零售WH,否,04
2026/4/22,交通,高铁,1662.42,ljy,火车票（已全额退款）,否,04
2026/4/22,交通,公交地铁,3.00,ljy,地铁_北沙滩,否,04
2026/4/22,医疗,保险,25.42,ljy,好医保·长期医疗4月保费,否,04
2026/4/22,餐饮,三餐,27.00,ljy,小骆驼烧烤北京知春路店,否,04
2026/4/22,购物,日用品,4.80,ljy,便利蜂（量子银座店）,否,04
2026/4/22,其他,其他,3.41,ljy,微店（用途待确认）,否,04
2026/4/23,餐饮,三餐,22.56,ljy,北京唐贵梧桐餐饮管理有限公司,否,04
2026/4/23,餐饮,三餐,28.00,ljy,左右手意式餐厅,否,04
2026/4/24,餐饮,三餐,25.00,ljy,小骆驼烧烤北京知春路店,否,04
2026/4/24,医疗,保险,136.00,ljy,健康福·重疾1号(大病版)-**宇,否,04
2026/4/24,医疗,保险,429.00,ljy,健康福·重疾1号(大病版)-**香,否,04
2026/4/24,医疗,保险,579.00,ljy,健康福·重疾1号(大病版)-**东,否,04
2026/4/24,居家,电费,199.99,ljy,网上国网,否,04
